GENE	Pre-sortedPrfGL117	Pre-sortedPrfXMG
C14orf1	27.0589	42.9407
KIAA0141	13.5516	17.0909
ZNF442	0.276042	0.417814
KIAA1841	2.6987	2.85353
C17orf49	39.051	56.438
C2orf68	8.02739	9.01354
C1orf123	10.0802	11.2076
C4orf19	0.504292	1.00031
C21orf59	12.689	14.8244
C11orf58	46.2951	48.5259
C20orf24	25.9579	32.9868
KIAA0391	3.72471	4.3893
C9orf16	61.7024	46.6593
CXorf40A	9.80757	9.51359
C9orf24	0.141436	0.0
C11orf1	4.20898	3.12707
C3orf80	0.728405	0.849928
C20orf196	4.97885	4.71421
KIAA1429	9.42189	9.98758
C8orf33	33.7769	25.6204
C11orf49	2.6325	1.67454
C9orf85	31.2577	20.1187
KIAA1143	3.51738	2.95399
C3orf58	2.01804	2.43137
C16orf74	0.813962	0.315731
C12orf73	7.60974	11.5517
C2orf40	0.0856929	0.0554821
C16orf59	3.69314	6.07485
C19orf24	13.4352	15.5451
C6orf120	8.02992	7.36217
C19orf12	29.1837	31.2908
C2orf70	0.0	0.0
LOC102723903	0.0608596	0.0
C5orf49	0.0	0.0
C9orf50	0.428453	0.457642
C17orf98	0.0630149	0.0
C2orf81	0.0	0.0199452
C17orf105	0.0	0.0
IQCM	0.0	0.0
C4orf22	0.0	0.0
C9orf116	0.0436109	0.111529
C19orf81	0.135255	0.0593959
C6orf118	1.01376	0.857807
C14orf105	0.0	0.0
C4orf51	0.0	0.0
C11orf97	0.269955	0.229349
C1orf158	0.0	0.0
C1orf194	0.0	0.0
LOC102723899	0.0	0.0
C1orf100	0.0	0.0
C4orf36	0.0	0.0538702
C17orf97	0.0	0.138915
C15orf39	26.5501	25.2741
C12orf50	0.0	0.0
C16orf95	0.0313454	0.0405041
C2orf88	1.02113	1.23488
C10orf82	0.0	0.0
C20orf141	0.0	0.10056
C17orf50	3.84182	5.98685
C6orf203	6.39512	9.95449
C20orf85	0.0	0.0
C9orf131	0.00720778	0.00897051
C10orf53	0.0	0.0
C1orf168	0.00818097	0.0
C1orf21	0.33285	0.549349
C1orf146	0.243595	0.110802
C9orf135	0.0	0.0
LOC102723545	0.0693237	0.0
C11orf94	0.454918	0.592909
C4orf47	1.19535	0.444576
C16orf46	0.134063	0.168716
C19orf44	3.61176	4.11529
LOC100505841	0.0	0.0
C12orf71	0.0	0.0
C7orf34	0.0	0.0
C16orf90	3.18014	2.32255
C20orf27	15.8372	29.2455
C10orf107	0.599684	0.37741
C2orf69	1.6415	2.1028
C19orf67	0.0	0.161309
C22orf23	1.80894	2.07656
C2orf74	0.028497	0.0
C1orf189	3.74564	2.41049
C3orf62	0.177031	0.551782
C12orf42	0.0	0.0
C14orf119	17.6237	21.3115
C17orf64	0.0	0.0
C11orf98	33.5933	54.8956
C17orf58	0.335119	0.0433415
C10orf128	0.711189	2.30361
C8orf4	0.0252296	0.566201
C16orf72	7.59248	7.95156
C8orf59	73.4123	93.1441
CXorf38	15.4221	16.8197
KIAA1644	0.0	0.0
C21orf2	9.73127	4.03045
C11orf53	0.435186	0.182495
C11orf24	3.17682	5.57075
C11orf86	0.0	0.0
CSTA	3.68103	0.897942
C14orf2	296.436	303.546
C10orf35	0.282619	0.244985
C9orf3	3.69963	4.11257
KIAA1211L	0.337298	0.253465
C9orf64	12.766	16.7024
C12orf43	16.6929	17.2892
KIAA0825	0.343427	0.379137
C6orf15	0.2255	0.0649654
C15orf61	11.2464	5.68751
C2orf54	0.0	0.0
C1orf53	14.7081	10.5747
C19orf25	27.2403	24.1179
C19orf47	12.496	12.6116
C1orf198	4.12604	8.02877
C11orf52	0.0	0.0
C1orf35	10.7461	13.3062
KRTAP13-2	0.0	0.0
KIAA1468	5.25437	4.34078
C19orf43	105.612	128.026
C1orf68	0.0	0.0
C10orf88	3.76304	5.01982
C6orf136	15.8967	18.1331
C1orf52	8.23797	12.3518
C2orf50	0.756965	1.33305
C19orf70	52.8014	48.7646
C5orf42	1.57711	1.3499
C12orf49	3.33089	3.09368
C3orf70	0.139172	0.382379
KIAA2013	33.6512	33.4521
C8orf37	2.83183	4.29267
KIAA0100	25.1401	25.3941
C1orf210	0.0781628	0.0
KIAA0586	1.91406	2.74579
C14orf166	85.6035	84.6579
C18orf21	12.5539	11.9005
C11orf95	1.0743	1.05768
C1orf131	10.3664	22.4254
C12orf65	3.13588	5.16783
KIAA0907	18.7999	17.1867
C19orf60	45.2613	44.8477
C2orf72	0.0201518	0.0
KIAA1551	12.2934	9.19893
C16orf45	0.0124284	0.0310374
C19orf18	0.0	0.0
C18orf8	14.6532	19.6411
C2orf76	3.74815	5.67984
C8orf46	0.0	0.0
C15orf40	12.0399	13.1956
C9orf72	4.46423	2.78846
C7orf49	0.656283	0.823742
C2orf82	0.0	0.0
C7orf50	10.2918	10.6443
C10orf71	0.0706032	0.0222714
C14orf37	0.0	0.0
C3orf14	7.26111	9.25774
C5orf34	19.6807	15.5331
C11orf88	0.0434873	0.0
KIAA1191	21.0003	24.5083
C7orf31	0.256048	0.207272
C16orf87	8.07172	9.32533
C5orf52	0.0397279	0.0166242
C20orf194	0.623034	0.960809
C19orf71	3.68538	2.62538
