Gene	PrfGL117HostGeneTPM	Prf XMG host Gene TPM
ITM2A	24.4815	25.4148
SERGEF	15.565325	13.807898
FAM109A	0.5633376	1.420869
FAM71E2	0.0	0.0
SSU72	104.7249	107.85728
EIF2B2	72.4872	83.34667
SETD6	36.78178	37.79818
BCL7A	3.94188	5.03093
DIO1	0.0	0.0
BNIP3L	117.013346	111.51229
CACHD1	0.0173227	0.0525318
SNIP1	27.44206	32.84982
PTGR1	3.79594	5.40455
B9D2	32.085926	34.680942
LNX2	18.81686	19.3924
PHAX	43.10672	42.8032
PPIA	3801.91044	4584.97985
SYT2	1.2657944	0.0
ITGB7	322.6014	322.6396
RPLP2	2324.14937	2519.81263
DHRS2	0.0993839	0.0
ANKK1	0.0	0.0
TTLL11	2.420421	0.2430796
METTL22	15.10947	13.853113
GKN1	0.0	0.0
FIGNL2	0.0176241	0.0
KCNH1	0.071563519803	0.0
LRAT	0.0	0.0
OTOP2	0.0	0.0
RNF115	53.965133	52.42828
HDGF	258.834115841175	277.636996
C2orf88	3.787692	9.748899
GPX2	0.0	0.107349
PTPRB	0.0286794	0.0167002
CCDC155	0.169353	0.0
TMEM88B	0.202923	0.147949
PRKAG2	19.713771	23.923721
SLC15A1	0.299876	0.0721386
SLC47A1	0.0	0.0
NUP210	233.632773	193.01725
NOS1	7.765484	5.958709
SOD2	13.982	15.9947
BDKRB1	0.0	0.0
SGK1	96.205970972	69.663951
AIG1	20.387389	18.713007
ZSCAN22	4.928281	5.889329
DDA1	68.968955	69.111928
NEIL2	2.62729	2.92399
RAD51D	23.0806000639951	24.220098
ATP7B	0.1101162	0.2522842
GLT6D1	0.0	0.0
GLI1	0.219504	0.251445
GREM2	0.0	0.0
IL10RB	50.13772	48.76869
RHO	0.0159972	0.0
NT5DC1	42.028459	32.88797
KIAA0895L	6.86836	6.2925305
GBF1	30.746675	25.400261
PLP1	0.2293622	0.287844
FAM117B	20.961201	22.35539
NID2	0.0453448	0.165997
PCDHGA2	0.0575804	0.0
CRABP2	0.446341	0.0
CSN3	0.811135	1.24128
CCDC134	17.814	13.7096
TOR3A	17.464135	19.126288
AIMP1	119.524392	105.668136
PHOSPHO1	1.27513	1.08529
POPDC2	31.80771	35.662581
TIMP1	0.203262	0.14424
ZNF703	9.4445	10.548572
FAM207A	49.7081	55.9113
WLS	2.4628022	3.4101839
WDR3	52.980632	54.518219
ZDHHC11	0.0538452	0.0
ZBTB22	21.66295	22.89868
AP1S1	112.454102	112.788633
PTPRS	19.40003	14.20608
PLEKHN1	17.143066	11.097515
ZNF558	0.45461	1.008478
LTA4H	106.033856	143.167205
MBL2	0.0	0.0
ICMT	19.759339	20.25334
RGL1	0.3211	0.4151683
IL10	15.1772	20.949
PPP2R5B	7.86064	9.31619
IL23R	0.182637	0.462397
CAPRIN1	258.464409	259.46011
NDUFB3	79.7412	89.712
PTPRU	0.2726907	0.2197944
SYTL1	13.845426	16.99695
ARRDC5	0.0	0.0
SCARB1	16.5903037	19.5624189714
TRIM24	22.02901678217	14.776459
NPM1	1255.08818	1391.709212
MBOAT7	38.078987	47.621875
PPM1H	84.781978	89.79426
CEP63	27.389827	29.377334
FCGR3B	2.97451	4.71509
MTUS2	3.338788	3.086275
TARS2	48.756864	39.508224
FAM173B	13.842048	13.333271
MCAT	14.1586	16.8089
GCDH	19.953534	19.288064
HR	0.16096	0.0766185
RUFY1	9.36271	10.126481
WASF3	0.0142002	0.0
GTSE1	43.9435	49.0018
SNAP29	16.1527	19.866
C17orf75	11.94792	9.92643
NIPSNAP2	33.84484	35.546271
RHAG	0.443964	2.02053
TMEM255B	0.0	0.0
EFHC1	0.0355915	0.0492474
RFX3	2.185574	1.9015753
E2F5	4.43604	4.46657
QTRT1	32.83234	29.412407
FAM89B	71.3365	77.58521
KCTD16	0.0	0.0
HTT	13.325499	12.6825748
GOT1	89.29898	90.01388
PMEL	2.61892	1.867439
NELFA	28.586041	34.326268
TMPRSS13	1.17878	1.02024
GRIN2B	0.00316812	0.0
SRP68	65.1580000008578	64.4851
PPP4R1	38.167175	34.051944
PGM2	55.1252	53.3144
DUSP7	7.958587	8.66118
VEGFA	0.5268393	0.6922659
ASPH	1.27732742	1.9700419538
KIR3DL2	0.0	0.0
CACNG2	0.0	0.11508
CRIP2	5.18505	8.1371359
IL1F10	0.0	0.0
CHCHD2	246.52046	312.243321
OR13D1	0.181561	0.0
GGCX	10.859444	6.697154
SGK3	2.877567	2.51130217680154
MIPOL1	2.4012242	2.665119
ADAMTS4	0.0	0.0
IL2RA	47.72656	48.136632
RAB2B	9.670980458455	4.627922
GGA3	29.241974	27.382192
YES1	0.4229969	0.744793
DEDD	33.836026	28.6320803
MCM10	43.40766	39.501959
CHP2	0.0	0.0
OSER1	42.303102	38.59339
TMEM47	0.312242	0.226383
DPYD	0.0316033	0.0
LYPD8	0.0	0.0
ABCB6	3.943248	5.254869
TBC1D14	36.41928023	32.0523827
MS4A6A	41.33835	37.63155
WDR47	8.911838	7.988512
TAS2R31	0.0	0.0
SLC5A5	0.0513213	0.106117
CLEC4D	0.36663	0.518382
SPATA7	2.054488	1.5158167
