NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	184	-0.47956973	-2.1393733	0	0	0	4717	tags=28%, list=28%, signal=39%
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	195	-0.3718251	-1.670455	0	0.04864238	0.0382	5007	tags=43%, list=30%, signal=60%
HALLMARK_MYC_TARGETS	HALLMARK_MYC_TARGETS_V1	Details ...	198	-0.3660689	-1.6445649	4.4247787E-4	0.043546416	0.0505	8390	tags=68%, list=50%, signal=136%
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	197	-0.3497098	-1.5737517	0	0.06454634	0.0972	7086	tags=49%, list=43%, signal=85%
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	196	-0.34901735	-1.5715587	8.86132E-4	0.05280508	0.0995	5213	tags=33%, list=31%, signal=48%
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	136	-0.364778	-1.5554532	0.0035945363	0.050033033	0.1128	4854	tags=52%, list=29%, signal=73%
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	194	-0.34063983	-1.529326	0.0029774564	0.055434935	0.1433	5475	tags=36%, list=33%, signal=52%
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	92	-0.36411977	-1.4524299	0.027467262	0.09322136	0.2613	5374	tags=39%, list=32%, signal=57%
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	191	-0.31511706	-1.4165633	0.012303776	0.11160937	0.3364	4117	tags=32%, list=25%, signal=43%
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	196	-0.30023637	-1.3469775	0.02486911	0.17246516	0.5051	6304	tags=45%, list=38%, signal=72%
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	-0.39880705	-1.325907	0.104161076	0.18243411	0.5605	3691	tags=43%, list=22%, signal=54%
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	-0.29345667	-1.3198304	0.028037382	0.17491195	0.5762	5103	tags=51%, list=31%, signal=72%
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	47	-0.37807623	-1.3148348	0.11174707	0.16730317	0.5886	7083	tags=43%, list=43%, signal=74%
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	-0.37922287	-1.2995634	0.12214363	0.17362949	0.6275	4224	tags=36%, list=25%, signal=49%
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	188	-0.2805415	-1.2561737	0.061120544	0.2193012	0.7356	5261	tags=35%, list=32%, signal=50%
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	156	-0.2872914	-1.2469304	0.074672826	0.2182454	0.7578	7147	tags=46%, list=43%, signal=80%
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	196	-0.26902983	-1.2078235	0.09622302	0.26700836	0.8427	6670	tags=38%, list=40%, signal=62%
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	-0.3659828	-1.19452	0.21083377	0.2742588	0.8672	4636	tags=51%, list=28%, signal=71%
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.28383243	-1.1715432	0.1836168	0.29766095	0.9043	4622	tags=38%, list=28%, signal=52%
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	103	-0.28739822	-1.168418	0.17877094	0.2882139	0.9086	6901	tags=36%, list=41%, signal=61%
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		102	-0.28369913	-1.151959	0.18982257	0.30193073	0.9264	5086	tags=30%, list=31%, signal=44%
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		137	-0.27052757	-1.150153	0.1810377	0.29122862	0.9288	4319	tags=33%, list=26%, signal=44%
